ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1
MAR,Morocco,,Malnutrition,Numbers Affected ('000s),Point Estimate,773.9,726.0,691.6,663.4,644.0,625.6,614.1,598.0,579.6,563.5,552.7,543.4,538.7,536.1,531.4,521.9,514.0,496.9,474.0,450.4,430.3
MOZ,Mozambique,,Malnutrition,Numbers Affected ('000s),Point Estimate,1597.5,1623.2,1645.7,1667.8,1689.7,1709.5,1734.9,1750.8,1762.0,1776.0,1800.4,1831.8,1864.7,1895.7,1919.4,1932.5,1935.9,1934.8,1935.6,1940.7,1949.8
MMR,Myanmar,,Malnutrition,Numbers Affected ('000s),Point Estimate,2445.9,2397.1,2332.3,2255.7,2172.5,2084.8,2003.0,1908.0,1810.1,1721.0,1644.3,1567.9,1505.9,1453.4,1398.8,1350.0,1301.1,1259.0,1216.8,1175.7,1134.9
NAM,Namibia,,Malnutrition,Numbers Affected ('000s),Point Estimate,80.5,79.7,78.2,76.1,74.3,73.0,72.2,72.5,73.4,74.4,74.6,74.9,74.4,73.1,71.5,69.9,68.0,66.3,64.7,63.3,61.9
NRU,Nauru,,Malnutrition,Numbers Affected ('000s),Point Estimate,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2
NPL,Nepal,,Malnutrition,Numbers Affected ('000s),Point Estimate,2081.6,2022.3,1938.9,1840.6,1741.6,1651.1,1556.7,1482.0,1419.6,1359.3,1295.0,1241.1,1182.1,1122.3,1066.3,1018.4,970.1,925.2,884.2,849.0,821.5
NLD,Netherlands,,Malnutrition,Numbers Affected ('000s),Point Estimate,13.1,13.1,13.4,13.8,14.1,14.3,14.4,14.3,14.1,13.9,13.7,13.4,13.3,13.4,13.5,13.6,13.7,13.7,13.6,13.6,13.6
NZL,New Zealand,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NIC,Nicaragua,,Malnutrition,Numbers Affected ('000s),Point Estimate,169.7,161.5,155.3,150.5,146.3,142.2,138.1,134.0,129.9,126.2,122.8,119.7,116.7,113.7,110.7,107.6,103.4,100.4,97.7,95.2,92.9
NER,Niger,,Malnutrition,Numbers Affected ('000s),Point Estimate,1219.9,1277.4,1324.5,1365.4,1405.2,1448.9,1499.8,1546.3,1589.7,1633.4,1685.2,1735.4,1781.1,1822.8,1873.0,1928.5,1990.6,2050.4,2110.4,2172.1,2237.7
NGA,Nigeria,,Malnutrition,Numbers Affected ('000s),Point Estimate,8919.5,9150.5,9351.9,9536.5,9712.8,9893.1,10116.5,10286.3,10439.9,10584.4,10735.0,10898.8,11058.2,11218.3,11371.3,11524.9,11695.0,11822.2,11897.5,11926.4,11995.9
NIU,Niue,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MKD,North Macedonia,,Malnutrition,Numbers Affected ('000s),Point Estimate,12.0,11.6,11.4,11.3,11.1,10.8,10.4,9.7,8.9,8.1,7.5,6.9,6.5,6.2,6.0,5.8,5.6,5.4,5.1,4.8,4.6
NOR,Norway,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
OMN,Oman,,Malnutrition,Numbers Affected ('000s),Point Estimate,42.8,39.3,36.4,34.0,32.3,31.4,30.5,30.1,30.3,31.4,33.2,35.1,37.1,39.5,42.1,44.8,47.7,50.5,52.9,54.4,55.2
PAK,Pakistan,,Malnutrition,Numbers Affected ('000s),Point Estimate,9224.9,9384.9,9539.6,9686.8,9828.1,9969.9,10114.4,10256.8,10397.0,10513.7,10606.3,10695.8,10739.2,10741.5,10728.1,10696.2,10659.5,10589.4,10511.2,10385.1,10251.0
PLW,Palau,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PAN,Panama,,Malnutrition,Numbers Affected ('000s),Point Estimate,63.2,64.9,66.8,68.8,71.0,73.1,74.6,75.8,76.5,77.0,76.9,76.4,75.3,73.6,71.6,69.8,67.3,65.1,62.4,59.9,57.3
PNG,Papua New Guinea,,Malnutrition,Numbers Affected ('000s),Point Estimate,371.6,381.9,390.5,398.2,406.6,416.6,425.1,436.1,449.4,461.5,471.4,481.1,487.6,491.5,495.3,500.1,505.8,513.1,521.4,529.2,536.4
PRY,Paraguay,,Malnutrition,Numbers Affected ('000s),Point Estimate,130.1,128.8,126.3,122.5,117.6,111.9,104.7,98.0,91.7,85.4,78.7,72.7,66.5,60.2,54.1,50.0,45.1,41.1,37.9,35.1,32.2
PER,Peru,,Malnutrition,Numbers Affected ('000s),Point Estimate,950.6,923.9,895.9,868.0,840.7,821.8,798.0,774.1,745.1,708.2,655.9,612.1,558.9,504.3,456.7,418.9,376.4,350.7,334.7,321.1,306.9
PHL,Philippines,,Malnutrition,Numbers Affected ('000s),Point Estimate,3841.8,3859.8,3881.0,3899.0,3905.5,3888.3,3839.5,3775.2,3702.6,3640.2,3601.9,3611.4,3619.7,3620.0,3591.8,3571.1,3496.6,3380.9,3302.2,3170.0,3045.3
POL,Poland,,Malnutrition,Numbers Affected ('000s),Point Estimate,68.1,61.3,56.2,52.5,49.9,48.2,47.5,47.8,48.4,48.7,48.4,48.9,47.8,45.8,44.1,43.2,41.6,41.6,42.6,43.5,43.7
PRT,Portugal,,Malnutrition,Numbers Affected ('000s),Point Estimate,26.0,25.8,25.7,25.7,25.5,24.9,24.2,23.2,22.0,20.7,19.6,18.8,17.9,17.1,16.4,15.8,15.1,14.5,14.0,13.5,13.1
QAT,Qatar,2,Malnutrition,Numbers Affected ('000s),Point Estimate,5.2,4.9,4.7,4.6,4.7,5.0,5.0,5.1,5.3,5.6,5.8,6.2,6.6,7.0,7.2,7.2,7.0,6.8,6.6,6.4,6.2
KOR,Republic of Korea,,Malnutrition,Numbers Affected ('000s),Point Estimate,92.3,85.3,78.8,73.5,69.0,64.4,59.3,56.4,54.7,53.6,52.7,52.8,52.2,51.3,50.2,49.1,48.3,46.8,44.7,42.8,41.2
MDA,Republic of Moldova,,Malnutrition,Numbers Affected ('000s),Point Estimate,29.7,27.7,25.6,23.5,21.7,20.3,19.4,18.7,18.1,17.6,17.1,16.5,15.9,15.2,14.5,13.7,12.9,12.1,11.3,10.5,9.8
ROU,Romania,,Malnutrition,Numbers Affected ('000s),Point Estimate,150.7,156.2,153.7,146.2,137.1,132.3,127.9,126.2,127.0,126.3,122.9,122.0,116.8,109.4,104.2,100.2,94.9,93.2,93.1,92.8,91.3
RUS,Russian Federation,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
RWA,Rwanda,,Malnutrition,Numbers Affected ('000s),Point Estimate,633.6,671.2,693.3,700.3,700.2,704.5,712.0,716.0,715.7,710.0,696.3,681.1,661.9,643.1,628.3,620.6,614.2,614.2,617.5,617.9,613.9
KNA,Saint Kitts and Nevis,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LCA,Saint Lucia,,Malnutrition,Numbers Affected ('000s),Point Estimate,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
VCT,Saint Vincent and the Grenadines,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WSM,Samoa,,Malnutrition,Numbers Affected ('000s),Point Estimate,1.6,1.5,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.7,1.7,1.7,1.8,1.8,1.8
SMR,San Marino,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
STP,Sao Tome and Principe,,Malnutrition,Numbers Affected ('000s),Point Estimate,7.2,7.1,7.0,6.9,6.8,6.7,6.6,6.5,6.3,6.2,6.0,5.8,5.5,5.3,5.1,4.8,4.6,4.3,4.1,3.9,3.7
SAU,Saudi Arabia,,Malnutrition,Numbers Affected ('000s),Point Estimate,359.8,326.8,301.0,279.7,260.7,243.2,228.4,214.7,201.5,190.7,181.1,171.3,162.6,154.9,147.7,141.2,136.5,131.6,126.8,122.1,117.6
SEN,Senegal,,Malnutrition,Numbers Affected ('000s),Point Estimate,420.7,416.9,411.8,406.7,404.4,403.3,405.0,407.6,412.8,418.4,427.4,440.7,453.5,463.8,472.0,477.1,477.8,473.2,468.4,459.1,450.4
SRB,Serbia,,Malnutrition,Numbers Affected ('000s),Point Estimate,57.9,55.3,52.7,50.1,46.7,43.5,41.4,38.9,36.2,33.6,31.9,30.0,28.7,27.6,26.7,26.2,25.3,24.6,23.9,23.2,22.1
SYC,Seychelles,,Malnutrition,Numbers Affected ('000s),Point Estimate,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
SLE,Sierra Leone,,Malnutrition,Numbers Affected ('000s),Point Estimate,305.6,318.8,332.9,348.2,363.0,375.0,387.6,396.4,400.0,398.8,394.7,390.5,382.6,373.1,365.4,359.4,351.7,343.2,327.1,318.2,310.5
SGP,Singapore,,Malnutrition,Numbers Affected ('000s),Point Estimate,10.5,9.6,9.0,8.7,8.4,8.2,7.8,7.5,7.3,7.2,7.1,6.8,6.7,6.6,6.5,6.6,6.4,6.5,6.9,7.2,7.4
SVK,Slovakia,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SVN,Slovenia,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SLB,Solomon Islands,,Malnutrition,Numbers Affected ('000s),Point Estimate,22.0,22.5,23.0,23.7,24.3,24.7,25.3,25.6,25.7,25.9,26.2,26.5,26.9,27.5,28.1,28.6,29.3,29.7,29.9,30.0,30.3
SOM,Somalia,,Malnutrition,Numbers Affected ('000s),Point Estimate,566.4,592.9,613.1,628.4,642.0,656.6,671.0,685.8,700.4,712.7,722.0,732.8,737.1,737.3,737.3,740.0,743.0,748.8,756.8,765.7,774.8
ZAF,South Africa,,Malnutrition,Numbers Affected ('000s),Point Estimate,1363.7,1360.3,1360.2,1359.5,1360.5,1360.4,1356.5,1347.9,1339.7,1332.4,1330.0,1346.9,1358.2,1358.3,1353.0,1349.0,1338.1,1329.8,1331.1,1334.7,1336.5
SSD,South Sudan,,Malnutrition,Numbers Affected ('000s),Point Estimate,429.7,438.0,441.6,443.1,446.6,455.8,467.0,481.7,498.0,512.0,519.7,530.4,539.0,542.9,542.7,539.8,538.5,534.0,527.9,522.9,521.7
ESP,Spain,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
LKA,Sri Lanka,,Malnutrition,Numbers Affected ('000s),Point Estimate,337.9,330.3,325.9,323.4,321.6,318.8,319.1,316.9,313.7,310.4,307.2,301.5,296.3,291.3,286.5,282.4,279.1,276.3,273.7,270.2,265.5
PSE,State of Palestine,,Malnutrition,Numbers Affected ('000s),Point Estimate,57.8,58.9,60.2,61.3,62.5,63.5,64.6,65.9,67.7,69.2,69.4,68.9,67.5,65.0,62.3,61.1,59.4,57.6,55.9,54.6,53.7
SDN,Sudan,,Malnutrition,Numbers Affected ('000s),Point Estimate,1906.1,1919.0,1936.3,1956.2,1976.2,1991.6,2011.5,2023.5,2030.1,2035.2,2042.2,2043.3,2049.7,2061.7,2071.8,2085.0,2098.3,2108.8,2119.7,2127.7,2136.5
SUR,Suriname,,Malnutrition,Numbers Affected ('000s),Point Estimate,7.5,7.1,6.8,6.4,6.1,5.8,5.6,5.4,5.1,4.9,4.8,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.3,4.2
SWE,Sweden,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CHE,Switzerland,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SYR,Syrian Arab Republic,,Malnutrition,Numbers Affected ('000s),Point Estimate,684.0,711.1,724.4,728.9,733.4,744.5,750.5,773.6,802.9,815.5,790.4,772.3,748.4,703.6,659.0,631.1,597.3,567.9,554.5,553.2,567.4
TJK,Tajikistan,,Malnutrition,Numbers Affected ('000s),Point Estimate,371.1,365.1,355.2,341.0,327.1,316.2,307.1,300.8,296.4,293.6,291.4,294.2,291.5,283.8,272.6,260.6,249.2,236.8,225.5,215.7,207.3
THA,Thailand,,Malnutrition,Numbers Affected ('000s),Point Estimate,792.3,766.1,744.5,725.9,709.6,694.0,678.5,660.6,642.4,623.2,599.4,579.8,555.6,532.0,512.2,497.4,485.0,474.3,464.5,453.1,441.2
TLS,Timor-Leste,,Malnutrition,Numbers Affected ('000s),Point Estimate,83.4,84.4,87.1,90.8,93.7,95.0,96.1,95.0,92.5,89.7,87.5,84.4,82.0,80.7,80.2,80.0,80.4,81.8,83.7,85.4,86.9
TGO,Togo,,Malnutrition,Numbers Affected ('000s),Point Estimate,288.0,294.3,298.0,299.7,300.8,302.6,304.3,305.2,305.7,305.9,305.0,303.2,302.4,301.2,300.0,298.6,297.3,296.3,295.0,293.1,290.5
TKL,Tokelau,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TON,Tonga,,Malnutrition,Numbers Affected ('000s),Point Estimate,1.7,1.6,1.6,1.5,1.5,1.4,1.3,1.3,1.2,1.2,1.1,1.0,0.9,0.8,0.7,0.6,0.5,0.5,0.4,0.4,0.3
TTO,Trinidad and Tobago,,Malnutrition,Numbers Affected ('000s),Point Estimate,5.2,5.4,5.6,5.8,6.1,6.4,6.8,7.1,7.4,7.7,7.9,8.2,8.3,8.4,8.4,8.3,8.2,8.1,8.0,7.8,7.7
TUN,Tunisia,,Malnutrition,Numbers Affected ('000s),Point Estimate,108.4,103.4,98.9,94.7,91.2,88.2,86.1,84.2,82.7,81.9,81.7,82.6,84.1,86.1,88.0,89.4,91.3,91.2,89.8,87.8,85.9
TUR,Turkey,3,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TKM,Turkmenistan,,Malnutrition,Numbers Affected ('000s),Point Estimate,134.4,123.5,116.8,112.9,108.3,102.5,99.4,93.9,87.3,81.6,78.6,75.6,74.9,74.9,74.1,70.8,69.1,64.9,59.5,54.3,50.2
TCA,Turks and Caicos Islands,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TUV,Tuvalu,,Malnutrition,Numbers Affected ('000s),Point Estimate,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UGA,Uganda,,Malnutrition,Numbers Affected ('000s),Point Estimate,2085.0,2113.3,2138.7,2161.9,2183.6,2205.1,2230.8,2246.2,2253.7,2256.9,2257.0,2249.1,2236.8,2206.5,2178.1,2157.7,2150.8,2157.7,2173.6,2180.2,2172.9
UKR,Ukraine,,Malnutrition,Numbers Affected ('000s),Point Estimate,483.3,464.5,446.2,429.6,417.2,412.1,410.4,416.2,428.0,444.6,458.0,488.3,485.5,472.2,459.8,469.2,458.0,437.5,412.9,382.7,336.5
ARE,United Arab Emirates,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
GBR,United Kingdom,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
TZA,United Republic of Tanzania,,Malnutrition,Numbers Affected ('000s),Point Estimate,2743.9,2765.0,2801.9,2853.7,2913.5,2973.9,3054.6,3119.4,3164.0,3193.2,3205.7,3194.9,3163.1,3129.6,3103.0,3096.0,3104.0,3119.6,3130.4,3129.9,3115.6
USA,United States,,Malnutrition,Numbers Affected ('000s),Point Estimate,615.8,587.7,571.5,563.2,556.8,555.2,566.3,568.0,564.4,559.2,556.6,561.6,564.3,566.4,570.4,575.5,577.3,586.7,600.7,616.5,633.4
URY,Uruguay,,Malnutrition,Numbers Affected ('000s),Point Estimate,39.5,37.5,35.7,34.1,32.5,30.8,29.2,27.6,25.9,24.5,23.1,21.9,20.9,20.1,19.4,18.6,18.0,17.3,16.6,15.9,15.3
UZB,Uzbekistan,,Malnutrition,Numbers Affected ('000s),Point Estimate,839.8,749.4,677.0,619.7,575.0,538.7,515.1,497.9,486.4,476.9,466.9,461.7,450.4,434.2,416.6,397.8,383.7,372.6,363.1,352.8,340.9
VUT,Vanuatu,,Malnutrition,Numbers Affected ('000s),Point Estimate,7.1,7.2,7.3,7.4,7.6,7.8,8.0,8.2,8.5,8.9,9.2,9.8,10.1,10.4,10.6,10.9,10.9,11.1,11.5,11.8,12.1
VEN,Venezuela (Bolivarian Republic of),,Malnutrition,Numbers Affected ('000s),Point Estimate,496.7,487.6,482.9,483.7,482.4,476.0,462.7,447.0,427.1,410.3,394.4,381.2,367.5,355.8,341.4,321.9,307.6,291.5,272.2,256.5,249.6
VNM,Viet Nam,,Malnutrition,Numbers Affected ('000s),Point Estimate,3005.1,2662.7,2468.7,2359.2,2281.4,2201.8,2184.7,2140.8,2084.3,2032.6,1992.6,1964.9,1921.9,1925.3,1890.9,1865.5,1837.2,1824.1,1804.2,1789.3,1761.0
YEM,Yemen,,Malnutrition,Numbers Affected ('000s),Point Estimate,1706.3,1706.7,1728.2,1763.4,1798.0,1821.0,1848.1,1854.5,1844.7,1828.9,1812.0,1796.9,1780.6,1764.2,1736.7,1706.8,1679.6,1644.1,1606.0,1567.0,1530.0
ZMB,Zambia,,Malnutrition,Numbers Affected ('000s),Point Estimate,1031.0,1059.7,1080.5,1094.7,1104.0,1112.0,1120.9,1120.6,1114.7,1105.3,1094.2,1079.1,1067.9,1060.2,1050.9,1034.9,1015.1,993.5,970.3,954.3,951.0
ZWE,Zimbabwe,,Malnutrition,Numbers Affected ('000s),Point Estimate,547.8,563.4,577.5,589.8,601.2,613.1,623.7,634.1,649.4,663.6,673.7,677.7,669.9,651.8,630.3,605.9,587.4,561.8,532.0,503.0,482.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1,The estimates for the year 2020 do not account for the full impact of COVID-19.  Household survey data on child height and age were not collected in 2020 due to physical distancing policies. One of the covariates used in the country model takes the impact of COVID-19 partially into account.,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Most recent input data is before 2000, interpret with caution",,,,,,,,,,,,,,,,,,,,,,,,,
3,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,
