ISO code,Country and areas,Note,Indicator,Measure,Estimate,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020 1
BGR,Bulgaria,,Malnutrition,Numbers Affected ('000s),Point Estimate,32.2,30.8,30.2,30.1,30.1,30.0,30.9,31.0,31.1,30.5,29.5,29.0,28.0,26.5,25.2,24.1,22.4,21.6,21.2,20.7,20.1
BFA,Burkina Faso,,Malnutrition,Numbers Affected ('000s),Point Estimate,901.4,937.5,969.5,997.5,1022.0,1043.5,1063.2,1072.8,1073.7,1068.0,1055.3,1037.8,1011.0,981.1,951.1,927.5,910.9,900.2,893.4,888.7,885.9
BDI,Burundi,,Malnutrition,Numbers Affected ('000s),Point Estimate,720.5,720.7,729.3,745.2,766.2,789.4,816.0,839.3,860.6,881.9,905.6,937.7,967.4,994.4,1020.0,1046.0,1073.7,1100.4,1127.6,1155.0,1183.9
CPV,Cabo Verde,2,Malnutrition,Numbers Affected ('000s),Point Estimate,10.6,9.8,9.2,8.7,8.4,8.2,8.1,7.8,7.5,7.2,6.9,6.6,6.4,6.2,6.1,5.9,5.8,5.7,5.4,5.2,5.0
KHM,Cambodia,,Malnutrition,Numbers Affected ('000s),Point Estimate,804.5,766.6,738.4,717.9,701.6,686.2,679.9,671.2,658.1,642.7,626.5,619.7,602.5,580.2,562.9,551.7,541.5,536.9,535.4,534.5,532.6
CMR,Cameroon,,Malnutrition,Numbers Affected ('000s),Point Estimate,989.0,1016.2,1042.4,1067.1,1089.9,1110.1,1131.6,1144.6,1151.9,1156.6,1163.1,1172.3,1177.1,1179.9,1180.8,1179.1,1173.2,1164.3,1157.4,1139.4,1119.2
CAN,Canada,,Malnutrition,Numbers Affected ('000s),Point Estimate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
CAF,Central African Republic,,Malnutrition,Numbers Affected ('000s),Point Estimate,266.3,275.0,281.5,286.8,290.9,294.9,299.9,303.5,306.0,307.2,306.0,307.6,306.2,306.0,305.2,304.7,302.9,301.0,298.4,296.4,295.8
TCD,Chad,,Malnutrition,Numbers Affected ('000s),Point Estimate,717.2,744.3,770.8,796.3,818.9,839.4,861.7,879.6,894.4,908.2,921.5,936.6,950.0,965.1,975.1,984.3,995.0,1004.2,1012.1,1019.2,1026.6
CHL,Chile,,Malnutrition,Numbers Affected ('000s),Point Estimate,38.5,35.0,32.2,30.0,28.4,27.3,26.4,25.8,25.3,24.8,24.2,23.9,23.5,23.1,22.6,21.8,21.1,20.4,19.6,18.9,18.3
